PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Maurice Harkless;PF;LAC;26;48;33;15;1095;257;105;207;50.7;23;67;34.3;24;42;57.1;46;143;189;47;45;47;30;115;740.3;0;0;39
Georges Niang;PF;UTA;26;43;29;14;594;254;91;195;46.7;57;133;42.9;15;18;83.3;11;69;80;30;18;11;5;52;425;0;0;-79
Jeff Green;PF;UTA;33;30;18;12;553;233;75;195;38.5;34;104;32.7;49;63;77.8;14;67;81;20;27;12;10;46;399.2;0;0;-107
Trey Lyles;PF;SAS;24;48;22;26;840;232;89;216;41.2;36;107;33.6;18;28;64.3;59;214;273;53;29;14;16;65;700.1;0;0;-32
Darius Bazley;PF;OKC;19;50;30;20;873;225;84;219;38.4;29;96;30.2;28;42;66.7;20;170;190;29;39;18;34;45;613.5;0;0;-72
Patrick Patterson;PF;LAC;30;44;29;15;570;216;70;176;39.8;49;132;37.1;27;34;79.4;28;87;115;29;14;6;3;39;410.5;0;0;99
Skal Labissiere;PF;POR;23;33;14;19;567;190;81;147;55.1;3;13;23.1;25;33;75.8;65;104;169;42;30;7;31;89;539.8;1;0;12
Marvin Bagley III;PF;SAC;20;13;2;11;334;185;78;167;46.7;4;22;18.2;25;31;80.6;29;68;97;10;18;6;12;43;352.4;3;0;-89
Daniel Gafford;PF;CHI;21;33;12;21;420;154;67;100;67;0;0;0;20;38;52.6;39;39;78;14;18;9;42;60;403.6;0;0;-53
Grant Williams;PF;BOS;21;46;33;13;695;154;55;141;39;14;61;23;30;44;68.2;43;76;119;49;37;18;23;107;456.3;0;0;139
Jake Layman;PF;MIN;25;14;8;6;369;147;61;132;46.2;19;54;35.2;6;10;60;12;29;41;11;18;12;10;31;260.7;0;0;15
Semi Ojeleye;PF;BOS;25;46;32;14;699;144;48;116;41.4;26;71;36.6;22;25;88;20;67;87;24;9;17;3;53;335.4;0;0;31
Anthony Tolliver;PF;SAC;34;39;17;22;609;136;45;129;34.9;32;101;31.7;14;21;66.7;29;89;118;32;23;11;10;59;365.6;1;0;-165
Kenrich Williams;PF;NOP;25;35;12;23;779;132;49;143;34.3;25;96;26;9;24;37.5;49;129;178;53;21;25;21;81;542.1;0;0;-48
John Henson;PF;CLE;29;27;7;20;363;126;53;106;50;5;28;17.9;15;30;50;29;71;100;38;18;14;30;47;417;0;0;-24
Zion Williamson;PF;NOP;19;6;3;3;158;117;48;78;61.5;4;6;66.7;17;32;53.1;21;28;49;10;14;3;2;11;191.8;2;0;54
Harry Giles III;PF;SAC;21;23;9;14;259;114;50;98;51;0;0;0;14;16;87.5;17;50;67;30;20;12;9;51;282.4;0;0;-50
Chris Silva;PF;MIA;23;32;22;10;260;105;38;57;66.7;0;2;0;29;43;67.4;48;49;97;15;29;9;16;68;289.9;0;0;-5
James Johnson;PF;MIA;32;18;10;8;281;102;39;87;44.8;16;45;35.6;8;14;57.1;8;44;52;21;15;6;13;34;237.9;0;0;19
Juancho Hernangomez;PF;DEN;24;33;19;14;394;100;36;104;34.6;15;59;25.4;13;22;59.1;22;62;84;22;15;4;3;26;239.8;0;0;-9
Gary Clark;PF;ORL;25;24;14;10;291;90;31;77;40.3;22;64;34.4;6;7;85.7;21;41;62;12;4;2;9;23;211.4;0;0;9
Jordan Bell;PF;MIN;25;26;8;18;226;81;31;59;52.5;2;9;22.2;17;29;58.6;28;49;77;14;18;2;9;15;209.4;0;0;-21
D.J. Wilson;PF;MIL;23;26;24;2;235;80;32;79;40.5;11;45;24.4;5;7;71.4;6;46;52;18;12;1;4;22;172.4;0;0;-21
Al-Farouq Aminu;PF;ORL;29;18;7;11;380;78;25;86;29.1;9;36;25;19;29;65.5;24;63;87;21;17;18;8;27;274.9;1;0;-35
TJ Leaf;PF;IND;22;22;13;9;180;67;28;66;42.4;5;14;35.7;6;10;60;20;40;60;6;6;7;3;17;172;1;0;-10
Nicolas Claxton;PF;BKN;20;14;5;9;183;62;26;46;56.5;1;7;14.3;9;19;47.4;19;24;43;16;9;1;8;14;155.6;0;0;-59
Cristiano Felicio;PF;CHI;27;12;5;7;197;42;17;25;68;0;1;0;8;10;80;26;25;51;6;8;4;1;14;119.2;0;0;-36
Chimezie Metu;PF;SAS;22;14;7;7;60;38;16;28;57.1;0;0;0;6;8;75;9;13;22;5;2;1;4;2;84.9;0;0;19
Zach Collins;PF;POR;22;3;2;1;86;27;9;19;47.4;3;7;42.9;6;6;100;4;8;12;6;6;0;2;11;50.4;0;0;19
Drew Eubanks;PF;SAS;23;7;5;2;38;21;9;14;64.3;0;0;0;3;3;100;6;10;16;2;4;0;1;5;42.2;0;0;-36
Tyler Cook;PF;CLE;22;11;3;8;35;19;7;10;70;0;0;0;5;6;83.3;4;6;10;1;1;1;0;4;34.5;0;0;-14
Wenyen Gabriel;PF;POR;22;13;4;9;77;19;6;20;30;1;9;11.1;6;10;60;5;6;11;4;6;4;3;14;53.2;0;0;-26
Alize Johnson;PF;IND;23;11;8;3;46;18;7;14;50;0;0;0;4;6;66.7;6;9;15;2;1;0;0;6;38;0;0;6
Caleb Swanigan;PF;POR;22;12;7;5;92;18;8;14;57.1;0;0;0;2;5;40;10;23;33;7;16;1;4;21;67.1;0;0;-45
Dean Wade;PF;CLE;23;9;1;8;50;16;7;10;70;2;3;66.7;0;1;0;2;13;15;1;3;2;3;7;47.5;0;0;3
Amile Jefferson;PF;ORL;26;17;5;12;74;15;5;13;38.5;0;0;0;5;14;35.7;9;13;22;4;3;1;3;7;56.4;0;0;21
Johnathan Motley;PF;LAC;24;8;6;2;18;11;4;6;66.7;1;1;100;2;2;100;1;2;3;5;4;3;0;5;27.1;0;0;-5
Juwan Morgan;PF;UTA;22;11;8;3;44;9;4;7;57.1;1;4;25;0;0;0;2;6;8;1;2;0;1;3;21.1;0;0;11
Jarred Vanderbilt;PF;DEN;20;8;4;4;34;8;4;6;66.7;0;0;0;0;0;0;2;3;5;1;5;2;1;4;19.5;0;0;-16
Ryan Anderson;PF;HOU;31;2;1;1;14;5;2;7;28.6;1;5;20;0;0;0;0;7;7;2;1;1;0;1;18.4;0;0;7
Udonis Haslem;PF;MIA;39;2;2;0;11;5;1;1;100;0;0;0;3;4;75;0;3;3;0;0;0;0;3;8.6;0;0;-7
